Date,AAPL,AMZN,AVGO,BRK-B,GOOGL,META,MSFT,NVDA,TSLA,TSM,MCD,BA
2020-02-28,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,
2020-03-06,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,,
2020-03-16,,,,,,,,,,,,
2020-03-17,,,,,,,,,,,,
2020-03-18,,,,,,,,,,,,
2020-03-19,101.02482439325668,102.33647115302702,99.04926399750232,100.87394833868146,102.23766966886876,101.15235756592803,101.90699284976985,99.96248456119793,98.71906377038357,99.2950947797803,99.12511095765575,98.28675264212899
2020-03-20,100.10888557753512,102.13124031003233,99.76031196595812,101.41073160185931,102.10389211404338,102.24450302121068,101.75562150199652,100.39920366949431,99.10936565913507,101.5716982457865,99.83219458156258,98.55901447748157
2020-03-23,100.38921439126611,102.27018104200894,100.31364902932629,100.5750105905046,102.28601904952032,102.43548150241729,101.93461913932344,102.2207371792095,99.49139806784355,102.56007855234564,99.04192968967534,99.00451502568377
2020-03-24,100.5663251377595,101.22370896940761,100.43194322271373,100.66966033999333,101.17986979136643,101.78492729526685,101.5691201188072,102.81554315725333,100.01135590245492,101.75392747024156,100.40919733982136,99.37211157018527
2020-03-25,99.58997820636908,100.66770146531235,100.62288709503103,100.61694978523374,99.56414165750469,100.3034465581364,100.85924637894554,101.82822544074405,100.51476575079923,101.28928181327105,100.32114425440275,100.16235079993345
2020-03-26,98.96159173746389,100.30198835767659,101.32191737918194,98.68165193667852,99.2021392125012,99.73480461937122,100.75050484524729,101.34703736785345,99.9499518204412,99.85972499076075,99.74164621754669,100.55861873379544
2020-03-27,98.46360362774072,100.27064942309272,101.00706299612796,99.04234183311597,98.64544995074556,99.4722215332693,100.41809426213788,101.4182595569159,100.12036748862126,98.97480039950241,100.0386839527474,100.38935518005488
2020-03-30,98.16329113029902,100.17872183976613,101.0553705753896,98.45478028634155,98.7001892963551,100.24488161304392,101.45779720458629,101.45527978630984,99.69386310961086,98.66871381330819,99.96477266957956,100.08173634078042
2020-03-31,99.04260472443383,100.19635940396223,101.06375036134816,99.10067068840165,99.94234974592874,100.88525017526564,101.31431315968683,101.37383213475375,100.31729337662291,99.17606697489627,100.0661010341086,100.22784395640097
2020-04-01,98.71933608864502,100.44046247875171,100.83614627468594,99.42113266153547,99.55880443293982,100.81591411635004,101.49388497959201,100.73777201927665,100.05827021003822,99.72281172357901,100.20045552500407,99.8180233541895
2020-04-02,98.6133888667807,100.0546702646964,101.20535291164585,99.34268515933118,99.2046030547785,99.72451384598331,101.33100680002956,100.99740657023781,99.31934032487953,100.12293908106655,100.31036822596856,99.43850588609531
2020-04-03,98.80028808834602,100.0569000203485,101.11022060851242,99.75519468206306,99.00189295491387,99.41083362933324,101.3749958525737,100.45803849428506,100.1680574301733,99.91718509612046,100.55352600631375,99.67186170346564
2020-04-06,99.7217385737873,99.43203432733044,101.05431047640181,98.45192527413832,99.53339239316173,99.46837762982302,101.46463137060593,100.77986396563313,100.19606559732408,99.65605677796898,101.22066670458095,100.36631442529838
2020-04-07,99.25794138970399,99.50205538055717,100.98952144363423,98.66949875341183,99.5581866055652,100.04935382536772,100.91002410749358,100.08590261227424,100.79442906095893,99.58784920076717,100.9619069156068,100.01565677715352
2020-04-08,98.84799741927294,99.07745879033686,101.04807483937793,98.71610679762455,99.12209717085375,99.86942910655029,99.50707320431844,99.82061148844,100.32318906609835,98.91748787835378,100.1366433515652,99.94400755079329
2020-04-09,98.47710455636636,98.85676892446702,100.03262690871257,98.8942948649325,98.70254729251658,99.48315438284621,98.67378733529486,98.8009086451687,100.80131124337852,97.81938388681799,100.96700655774339,99.95065588981151
2020-04-13,100.68718201206927,100.76116481402023,100.84733475379585,98.26350044325628,99.3528889704177,99.92568896525968,99.36402583077846,99.54522632822147,102.76094403120071,98.53905007155643,100.43606056929124,99.61632680081472
2020-04-14,102.01719365513577,102.16438321078282,100.72451985007889,98.18864403587219,100.2635041293967,99.49284123199992,100.44216653179768,100.34785126826817,102.6005263817803,98.82122497745652,99.7429338029965,98.89404371425061
2020-04-15,102.54824157941056,102.68137582195773,99.93021449544007,98.3671543834015,101.91461840161602,100.69216157827536,101.03975936688299,100.9630736701213,102.40238937649698,98.984907309471,99.05230161612975,99.4091128149893
2020-04-16,102.12762655650474,102.62499000925963,99.5714662813449,98.12256216420602,101.28029444120776,99.95512674695854,101.98687385881581,102.32627242541898,102.04998550603807,100.62300628173571,99.4076077051866,98.7603587558623
2020-04-17,99.98937418812409,101.39880400498372,99.72041502289078,98.11462212405036,100.44100826123723,99.19809698588658,100.9128129176265,100.79913147751066,101.59059906874516,100.60156816829284,100.06031882447138,99.9774385129251
2020-04-20,99.81358291157427,101.65857978417773,99.00007661585997,98.58125474502437,100.67065677301908,100.03812033359797,100.71383509687189,100.72102924243111,101.4187401008209,100.47565930892874,99.58280520834337,99.33236339067007
2020-04-21,99.75854708548017,101.4728587378317,98.45856852954897,98.86189078121299,99.84606519621641,99.15436611266153,99.98961071343778,99.55662436210544,100.8619310999408,100.6789329363619,100.19513820899279,99.07153969146646
2020-04-22,100.05627571413743,101.14789550097409,99.92248980069921,98.80284479095909,101.21312795354501,102.39757977565367,100.59966978875393,100.98918061946192,101.05324964049046,100.88127032735245,101.92088714422916,98.56227829662416
2020-04-23,99.8468722221787,101.26049021744149,99.58735713919774,98.77854595186824,101.84054874030086,102.73608586957113,99.88743417884652,100.63257307613792,100.65378539743226,100.69055018253631,100.09582171510287,99.11036707314278
2020-04-24,100.55139151194551,100.94833502484136,100.18597199526025,98.58410354586613,100.93165650177126,102.46160803101348,100.14945919191503,100.81340737228493,100.66348568627798,100.32874912011489,99.78010855406073,97.94525927908128
2020-04-27,99.71855603104525,100.3344629909519,100.16676424756028,98.27077037872398,99.37677485669032,101.01099511828484,99.16771167193303,101.07802930263794,101.29170200334288,100.38576795650926,99.40093031678465,98.09385935748777
2020-04-28,99.15873625663227,99.84401741580216,99.66704210445187,98.62390800441152,97.94209061618753,100.04352948003365,98.34002785158893,100.51623438092521,100.8638915804559,100.0946618462396,99.96853607177981,98.62709620760118
2020-04-29,99.47801297325847,99.71733994496307,100.9603106749392,98.27708500201838,101.61481294065749,101.41604894640572,99.38373863992332,100.34918450063962,100.91607736727408,100.34913675903574,98.66745795746944,99.20255549550255
2020-04-30,101.03979659998599,100.73863130526728,100.57608340758138,98.36143845771255,101.92680983097527,102.73795087362352,100.36809840009334,99.80918276515126,100.68030638334403,99.73376349143653,99.41744247440178,99.66223660547288
2020-05-01,101.56209061351151,99.0067699971544,98.98838538507452,98.59911328881151,101.93327712015694,102.37885003039888,100.38888296665344,99.2648461423121,98.87529883391,99.066384138642,99.70477458764057,99.31840309563214
2020-05-04,101.7636264103339,99.12404625909032,99.62120750832074,97.67591922828774,101.63526058320268,102.06317997286503,101.48616405951886,100.61641832939864,100.69281012161103,99.64877981404811,98.98628946732262,99.09831832288415
2020-05-05,101.76829775623916,98.73345644418444,99.82427299601324,97.61344244032622,101.77475114673474,101.70850242312173,101.36902668471424,100.4794283006095,100.59459950687565,98.52629075030764,97.61598990820764,98.3860405406804
2020-05-06,102.14162944451586,99.65241969395949,100.30722776260764,97.76583727951814,101.65128516055678,101.65967229098236,101.94275890814211,101.61179011919485,101.27271122233103,99.20343465743088,97.80037756004951,98.29659797597739
2020-05-07,101.81315549094339,99.56133791086695,100.47746467492092,98.06989549299868,101.5942876517663,101.45195626951784,101.55083384128042,102.26338258879929,100.75428684947148,98.84370974603341,98.68799763631174,99.09143380752741
2020-05-08,101.70883844722589,99.10672002604319,101.41233219275333,98.42846321287573,101.19423771226643,101.09153216377997,100.91384999578628,102.11903837528958,101.51180798904734,98.6730193927839,98.18626113275883,99.50255047103751
2020-05-11,101.83157952463374,99.72790562109381,101.34648863318026,98.39853349847998,101.44505780169236,101.02519512133563,101.28968142353601,102.56821248684602,101.08008354253688,98.3686569524749,98.39365536903655,98.91084191872127
2020-05-12,101.75635729512584,99.77182037293079,100.81991790960633,98.80238917675352,101.26798385571715,101.03378867178863,101.04017218955565,101.78150864344423,101.41165620882312,98.38851105912853,98.50395120399783,98.84706931879329
2020-05-13,101.61126762260652,100.92113504709485,100.43518312041589,99.04043005385735,101.04416703787915,100.7829508473222,101.02483603324762,101.87434900602102,101.09468650168782,99.27697740776463,98.47906766853654,98.73570913951788
2020-05-14,101.27628033053287,100.99320488920587,100.57157337927667,98.93336245012512,100.76271893694546,100.61057080045755,100.61931755133953,102.00796011045081,101.09177214965572,100.17818476963826,98.80116969467132,98.75382613170082
2020-05-15,100.88465733257937,101.4028271758166,97.60171537687262,98.72900976853384,100.90351478730268,100.84645978697013,100.95411636807869,102.48789242836853,100.71562615096808,97.45260767616404,98.45571539293522,98.42493613955011
2020-05-18,100.57406592712061,99.91335054261174,99.65182645195424,98.99247873893995,100.01663556566184,100.25973975608885,99.92279960902762,101.95330171994438,100.30405640707475,98.3036474586646,98.76378053911687,100.53028351285677
2020-05-19,100.61840775905362,101.01596794168489,100.13547047364897,98.91048723900353,99.82200422098173,101.09642837432072,99.88670765295255,101.85926732872446,100.36225353451414,98.1317994731464,99.26975727688924,99.91244627312136
2020-05-20,100.64357272586635,101.07046785410246,101.05499575658254,99.12558953561151,100.31502029639597,102.99205804558679,99.40889656148359,101.5981368045219,100.1071651274339,98.51531792739713,99.77759666012629,100.13992314042905
2020-05-21,100.56485473086167,100.38194025986391,100.34830976809484,99.26136178809453,100.77686817295363,102.66571444528614,98.82089228278771,101.19271499092099,100.7514489799161,98.20018807245022,100.64139423640655,101.68792225658088
2020-05-22,100.69127702256496,99.8067277926537,100.73903200535644,99.10132042701206,100.90922148134507,102.36043416162308,98.37902720947089,101.44671599988278,100.02616162326785,97.86251411081427,100.52930250313734,101.37110322932166
2020-05-26,99.30949026224263,98.47214868094416,101.37607657478368,100.60585715883401,100.01678028700235,101.3369245216613,97.30475943090893,100.52905931542581,99.2437968949028,98.43517175744088,99.94355650074337,102.16343046804957
2020-05-27,98.29521536668088,97.56715073362264,101.64120810411237,102.09202956776411,98.07846385570971,100.37683585078061,97.46430516046404,99.73989973286156,98.14779252521936,98.75195623753118,100.09338198617671,102.06727873039236
2020-05-28,98.53725407416403,97.9976893858739,100.08846049039677,101.73677021792078,98.38546171250161,99.89753081053138,97.97436173731906,99.56727617185621,97.7143546527374,98.1559080784535,100.85078902097949,101.78945260678806
2020-05-29,98.21161970456652,98.79047189820301,102.11648245896005,101.3736659671233,99.17035913272917,99.67421335670616,98.49809622592713,100.33347385026048,99.4866402483633,98.32728214009782,99.82744901326726,100.97176562105668
2020-06-01,98.90720516661047,99.20908496117934,101.20665615297429,100.30078974679327,98.93569307931092,100.42652867949705,98.49930275731461,99.91960454226437,102.7060999639284,98.81400357148365,100.08873667024208,101.44496165733152
2020-06-02,98.81768812229913,98.9555584427031,102.24154167795625,100.49574831488704,98.782199533965,100.1944906539133,98.80545454694207,99.66212923676733,101.25310420710372,99.2760855929133,99.30593307174908,101.31932345070963
2020-06-03,98.49476511243498,98.63972266522629,102.65771416409726,101.35454530932384,97.74717439937535,99.33575336039793,98.57481776060749,98.9312497793394,100.71489879360126,99.58351006106335,101.06792533462394,102.48712703650926
2020-06-04,98.34992849208498,98.6737457599427,102.09834760481061,101.79713455554715,97.48211818534901,98.87958031713194,98.43099026920773,98.9334028960421,99.97061426379446,100.66626802521098,101.22947188242517,102.54594105849878
2020-06-05,98.66042677234181,98.28794280991461,101.73270998494137,102.27390306629451,97.71808084573033,98.69075543866172,98.54960822655947,98.69248575361429,99.94794189703363,100.61604193567482,100.52331493700449,102.58961549615161
