Date,Open,High,Low,Close,Volume
2020-02-24,300.3699951171875,301.0,269.6000061035156,275.1099853515625,26346700
2020-03-02,279.5400085449219,297.44000244140625,249.8000030517578,262.3299865722656,53028600
2020-03-09,238.0,241.47999572753903,154.80999755859375,170.1999969482422,106051500
2020-03-16,149.4199981689453,151.0,89.0,95.01000213623048,224861100
2020-03-23,98.75,186.47999572753903,93.55999755859376,162.0,278796700
2020-03-30,153.80999755859375,160.63999938964844,120.0199966430664,124.5199966430664,202626000
2020-04-06,133.6999969482422,164.8000030517578,129.2100067138672,151.83999633789062,187009800
2020-04-13,155.5,156.0,132.89999389648438,154.0,193056400
2020-04-20,147.2100067138672,151.6300048828125,128.3300018310547,128.97999572753906,146583200
2020-04-27,129.97000122070312,147.17999267578125,123.83000183105467,133.3699951171875,207314000
2020-05-04,127.12000274658205,135.5500030517578,121.37000274658205,133.44000244140625,143178300
2020-05-11,130.9199981689453,133.1199951171875,113.88999938964844,120.0,132892400
2020-05-18,126.18000030517578,144.24000549316406,125.8000030517578,137.52999877929688,167353000
2020-05-25,145.2100067138672,156.6999969482422,141.24000549316406,145.85000610351562,131726400
2020-06-01,145.4499969482422,218.7899932861328,144.5500030517578,205.42999267578125,285395800
2020-06-08,222.94000244140625,234.1999969482422,166.00999450683594,189.50999450683597,430739300
2020-06-15,177.17999267578125,208.3000030517578,175.88999938964844,187.0200042724609,336307200
2020-06-22,184.55999755859372,190.1199951171875,167.60000610351562,170.00999450683594,268697700
2020-06-29,181.0,194.5,176.27000427246094,180.80999755859372,234822000
2020-07-06,184.5200042724609,189.3600006103516,169.75,178.44000244140625,199163300
2020-07-13,180.1999969482422,189.52999877929688,173.41000366210938,175.66000366210938,191886200
2020-07-20,175.1300048828125,182.9499969482422,171.6199951171875,173.75999450683594,153960300
2020-07-27,173.19000244140625,174.13999938964844,156.25999450683594,158.0,166705600
2020-08-03,156.50999450683594,175.57000732421875,153.41000366210938,170.02000427246094,167802800
2020-08-10,171.36000061035156,189.97000122070312,171.3300018310547,178.0800018310547,192941600
2020-08-17,178.24000549316406,178.2899932861328,165.86000061035156,167.5,110601400
2020-08-24,168.77999877929688,181.30999755859372,167.92999267578125,175.8000030517578,136757400
2020-08-31,174.64999389648438,180.8500061035156,164.0,171.0500030517578,98460400
2020-09-07,165.8000030517578,166.89999389648438,156.32000732421875,160.22999572753906,73829100
2020-09-14,161.75,170.57000732421875,158.89999389648438,161.13999938964844,95736400
2020-09-21,157.8300018310547,160.4199981689453,145.02000427246094,156.02999877929688,115362800
2020-09-28,160.3300018310547,172.75999450683594,159.1999969482422,168.0800018310547,159630500
2020-10-05,169.49000549316406,175.55999755859375,159.3300018310547,167.3300018310547,130238300
2020-10-12,167.75,173.4199981689453,158.72999572753906,167.35000610351562,82872100
2020-10-19,169.08999633789062,170.83999633789062,163.82000732421875,167.36000061035156,64552500
2020-10-26,164.9499969482422,165.5,141.5800018310547,144.38999938964844,81851800
2020-11-02,145.75,158.47000122070312,143.3800048828125,157.74000549316406,58773000
2020-11-09,179.0,193.9499969482422,172.16000366210938,187.1100006103516,165339400
2020-11-16,194.55999755859372,223.0200042724609,191.3500061035156,199.6199951171875,197319800
2020-11-23,203.2400054931641,222.9499969482422,201.8699951171875,216.5,88728700
2020-11-30,215.6999969482422,242.0,208.5200042724609,232.7100067138672,133491900
2020-12-07,238.5,244.0800018310547,228.0200042724609,230.3300018310547,105469100
2020-12-14,235.0,237.6300048828125,218.6100006103516,219.75,92641700
2020-12-21,212.33999633789065,224.3999938964844,211.1000061035156,217.1499938964844,49274000
2020-12-28,218.19000244140625,221.67999267578125,212.6999969482422,214.05999755859372,44984600
2021-01-04,210.0,216.6000061035156,202.4900054931641,209.8999938964844,85384200
2021-01-11,203.02999877929688,214.19000244140625,201.00999450683597,204.32000732421875,61727100
2021-01-18,206.9900054931641,215.58999633789065,204.2700042724609,205.83999633789065,40280100
2021-01-25,203.2700042724609,208.3500061035156,191.8500061035156,194.19000244140625,70323400
